pessoaFJ,grupo,familia,tipo,objeto
física,Produtos,Aerograma,Aerograma-Social,Aerograma-Social
física,Produtos,AR,Convencional,Aviso-de-Recebimento-Convencional
física,Produtos,AR,Digital,Aviso-de-Recebimento-Digital
física,infraestrutura,aplicativos,Aplicativos-Correios,Aplicativos-Correios
física,Produtos,AR,Digital,AR-digital
física,Produtos,AR,Convencional,AR-convencional
física,Financeiro,Bancário,Aporte-e-Saque,Aporte-e-Saque
física,Telefonia,Atendimento,presencial,Atendimento-Presencial–Telefónica
física,Entrega,restrições,Domiciliar,áreas-com-restrição-de-entrega-domiciliar
física,Postagem,Postagem,Postagem,Postagem
física,Serviço,Achados-e-Perdidos,Achados-e-Perdidos,Achados-e-Perdidos
física,Terceiros,Terceiros,Terceiros,Terceiros
