identifier,sign-date,provider,customer,offer
1,2019-01-13T10:49:31.641721,Banco do Brasil,catalinasargent@googlemail.com,DE82444435329779109646
2,2017-09-11T10:49:31.641763,Banco do Brasil,brunojjmartinez@gmail.com,DE70334119137743514093
3,2018-05-21T10:49:31.641784,Santander,brunojjmartinez@gmail.com,DE76894768662419673111
4,2016-11-15T10:49:31.641806,Banco do Brasil,tommystrubbe@googlemail.com,DE78690946739504309806
5,2017-06-29T10:49:31.641828,Caixa,betty.lewis@gmail.com,DE50139821739297986888
6,2018-08-05T10:49:31.641848,Itaú,betty.lewis@gmail.com,DE77851065666584720184
7,2019-06-17T10:49:31.641870,Santander,gerry.vanhoose@googlemail.com,DE29354508073743831293
8,2019-05-18T10:49:31.641890,Bradesco,robert.farrell@gmail.com,DE10985785971549145687
9,2018-05-22T10:49:31.641916,Citibank,maxineliesmann@web.de,DE93852973047302670654
10,2017-08-09T10:49:31.641937,Caixa,brenda.pugh@web.de,DE67444719107381296569
11,2018-12-04T10:49:31.641958,Santander,calvincapps@web.de,DE50561242036667643899
12,2017-09-16T10:49:31.641981,Caixa,bryanmarett@gmx.de,DE51728838437501118370
13,2018-11-18T10:49:31.642000,Santander,bryanmarett@gmx.de,DE22170806079195028710
14,2018-09-18T10:49:31.642023,Citibank,kellyward@t-online.de,DE27235503909700305654
15,2016-10-17T10:49:31.642045,Citibank,evan.murray@web.de,DE92648558961468741310
16,2019-04-23T10:49:31.642065,Bradesco,guy.burns@gmx.de,DE44305226222441557697
17,2018-04-25T10:49:31.642087,Santander,jasongarrett@googlemail.com,DE50493093512418563495
18,2018-06-19T10:49:31.642108,Citibank,ashleylanasa@gmail.com,DE46175649932131791856
19,2017-09-11T10:49:31.642129,Bradesco,patricia.mclendon@gmx.de,DE65403466947923029055
20,2016-10-27T10:49:31.642153,Banco do Brasil,patricia.mclendon@gmx.de,DE32132962269821718345
21,2018-01-16T10:49:31.642174,Citibank,rose.swenson@googlemail.com,DE33510125629974889896
22,2017-06-21T10:49:31.642193,Santander,rose.swenson@googlemail.com,DE28571102327654896575
23,2016-10-23T10:49:31.642214,Caixa,essieleisenring@gmx.de,DE20117978677399847042
24,2017-03-20T10:49:31.642235,Caixa,martha.raymond@web.de,DE98578335434393251543
25,2019-06-22T10:49:31.642256,Banco do Brasil,wendipasch@web.de,DE28254691836878919381
26,2019-05-26T10:49:31.642279,Targobank,wendipasch@web.de,DE3185278125428098551
